gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
ENSMUSG00000030695,9246.27704635068,-0.5997316472852554,0.6311122344618937,-0.9502773271327969,0.34197135624053576,0.9999741508561834,-0.46601026922937966
ENSMUSG00000100760,3.6147677659568616,-1.8141601242488727,1.9088881580168011,-0.950375283449637,0.3419215982911834,0.9999741508561834,-0.46607346509279507
ENSMUSG00000040174,89.40999408467046,-0.4690905557281929,0.49352469098313695,-0.9504905515339679,0.3418630525783247,0.9999741508561834,-0.46614783377031194
ENSMUSG00000039568,186.80867869426706,-0.5233838421943451,0.5504908425372679,-0.9507584899723601,0.34172698898097953,0.9999741508561834,-0.46632072005215564
ENSMUSG00000114996,207.62129085352345,-0.6150064164790517,0.6463015644971263,-0.9515781026424953,0.34131099118758434,0.9999741508561834,-0.4668497259749273
ENSMUSG00000039041,353.4726429802391,-0.4141770273689642,0.4350919332141192,-0.9519299158441022,0.34113252642784475,0.9999741508561834,-0.46707686935056286
ENSMUSG00000041203,211.7612475385514,-0.7265561701854468,0.7631952773023186,-0.9519924871045052,0.3411007920789224,0.9999741508561834,-0.4671172721050454
ENSMUSG00000089333,1.3552965147421547,-3.4091457636158746,3.580702870148548,-0.9520884271177865,0.34105213772663456,0.9999741508561834,-0.46717922395141814
ENSMUSG00000039244,118.14761827611979,-0.5615195372158761,0.5897642527667315,-0.9521084646647329,0.34104197658518853,0.9999741508561834,-0.46719216330265306
ENSMUSG00000010660,132.6072277633979,-0.7683997201579139,0.806018072664961,-0.9533281525776856,0.34042383171375035,0.9999741508561834,-0.46798004429988466
ENSMUSG00000000934,44.352059084856535,-0.6631286288777691,0.6954047537108609,-0.953586562845799,0.3402929601138617,0.9999741508561834,-0.46814703537474023
ENSMUSG00000002250,241.30771411364734,-0.49583504030620834,0.5199092575144358,-0.9536953480626202,0.3402378756032929,0.9999741508561834,-0.46821734195829245
ENSMUSG00000025158,95.59573150844437,-0.8906009067735307,0.933678283587868,-0.9538627195560307,0.340153136490289,0.9999741508561834,-0.4683255201344151
ENSMUSG00000118161,2.199947925653502,-1.5042062161211096,1.576925799565061,-0.9538852218259043,0.3401417447670645,0.9999741508561834,-0.46834006489337926
ENSMUSG00000052485,34.43620916928095,-0.8091768038711111,0.8479334730744557,-0.9542927948547427,0.3399354541664483,0.9999741508561834,-0.46860353754737916
ENSMUSG00000084093,5.333617670919711,-1.3408124685083418,1.4049899960548942,-0.9543217192102733,0.33992081732892465,0.9999741508561834,-0.4686222376698507
ENSMUSG00000039384,90.68938260844811,-0.4546463241735113,0.47625252337566665,-0.9546328929681861,0.33976337698050196,0.9999741508561834,-0.46882343545065625
ENSMUSG00000060938,670.3930455047915,-0.8484165646213951,0.888714297595722,-0.9546561441811546,0.3397516147585008,0.9999741508561834,-0.46883847049233346
ENSMUSG00000021179,127.36540180303733,-0.5709744929369472,0.5979343943240655,-0.9549116062848416,0.3396223998986072,0.9999741508561834,-0.4690036734588811
ENSMUSG00000015013,51.17019153024207,-0.4997539543333039,0.5231504986102654,-0.9552776030241511,0.33943733062270576,0.9999741508561834,-0.4692403965737155
ENSMUSG00000031622,250.9794221078441,-0.4155258105166222,0.43493178140458777,-0.9553815754155857,0.33938476792325767,0.9999741508561834,-0.4693076533422231
ENSMUSG00000082971,2.121737603422355,-1.9812528028441956,2.0734812825384137,-0.955519984447938,0.3393148040610502,0.9999741508561834,-0.46939719198539076
