,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Slc24a3,6974.0,0.11897492914754187,0.07822790268082319,1.5208758648812326,0.12829099164809704,0.9999999759983075,0.8918038378953417
Lor,876.1,0.12226006376799715,0.08039108059147392,1.5208162754931767,0.12830594895248607,0.9999999759983075,0.8917532069349533
Slc25a29,2126.2,0.10100683333823188,0.06643306292574856,1.5204301727157457,0.12840289598351273,0.9999999759983075,0.8914251811310593
Csrnp2,9134.5,0.13216107451245673,0.08693199479772024,1.5202811671350558,0.12844032520515095,0.9999999759983075,0.8912986034899656
Akr1e1,5858.0,0.12064786599455263,0.07935992694159982,1.5202618077425423,0.1284451887796079,0.9999999759983075,0.89128215862691
Mettl23,622.4,0.1540584461675809,0.10133768997534841,1.5202482531924446,0.1284485941144055,0.9999999759983075,0.8912706447779171
Acd,6932.6,0.11359968656474938,0.07473325464252158,1.5200687713674612,0.12849369228340995,0.9999999759983075,0.8911181911945207
Rnf103,4288.6,0.09732445855448452,0.06402832558460815,1.520021922576724,0.12850546594438753,0.9999999759983075,0.8910783993443592
Smurf1,10209.5,0.1272323304401538,0.0837058171265132,1.5199938882127453,0.12851251171605765,0.9999999759983075,0.891054588249231
Gucy1a3,4847.5,0.17730457130453767,0.11665407363403449,1.5199175286477784,0.12853170440210812,0.9999999759983075,0.8909897334333088
Slc16a13,3148.3,0.14336550252508878,0.09432643898676767,1.5198867259814657,0.12853944716559804,0.9999999759983075,0.890963572275677
Dvl3,4093.1,0.08652207575215627,0.05693128049099965,1.5197633885265354,0.12857045372205161,0.9999999759983075,0.8908588234784554
Sh3pxd2a,25565.5,0.1416774021033464,0.09323763060583164,1.5195302710157572,0.12862907443346552,0.9999999759983075,0.8906608553708486
Map4k4,1705.4,0.16123785854911227,0.1061159981242793,1.5194491066302387,0.12864948924594818,0.9999999759983075,0.8905919336518984
Pls3,3572.5,0.08054531492173708,0.05301930109040778,1.5191696847227827,0.12871978989169763,0.9999999759983075,0.8903546778039212
Samd9l,5871.3,0.13982569069387946,0.0920630497958714,1.518803591711449,0.12881194156860712,0.9999999759983075,0.8900438736458387
Akap8,14813.6,0.1306696595656884,0.08603834376297718,1.5187375052879197,0.12882858207705952,0.9999999759983075,0.8899877731465482
Lrrc25,6541.5,0.2781719786022997,0.18320473674493343,1.5183667384625774,0.12892197184080037,0.9999999759983075,0.889673060644734
Adamtsl1,16202.0,0.3146775860695524,0.20726094726101998,1.5182676245962254,0.12894694582048913,0.9999999759983075,0.8895889399084912
Pcp2,780.1,0.9219089064863428,0.6072171481940349,1.5182524229235843,0.12895077655805837,0.9999999759983075,0.8895760381412889
